fire_id,cause_id,agency_id,time_id,collection_method,acres_burned,shape_area,shape_length,duration_days
16474,14,1,7394,,348.8886,2434215.9765625,6738.04837096482,
16475,14,2,7372,,347.5373,2072837.85546875,6992.4381930037,
16476,14,1,7395,,339.945,2251141.48828125,5486.16142158667,
16477,14,3,7381,,338.7066,2027541.56640625,6522.14146887132,
16478,14,1,7354,,336.206,2154796.65234375,5950.27877972418,
16479,14,2,7396,,332.6862,1970486.62890625,7647.47754994943,
16480,14,1,7381,,317.852,2086357.515625,6041.39556046791,
16481,14,1,7373,,317.1985,2020234.50390625,5805.95723242198,
16482,1,3,7397,6.0,293.3363,1934590.65625,6440.29619989264,2.0
16483,14,1,7398,,274.2098,1813780.45703125,8643.27381907887,
16484,14,1,7399,,265.2987,1745449.88671875,5512.90598648375,
16485,14,1,7400,,261.3891,1550945.89453125,6069.22348134545,
16486,1,4,7401,8.0,258.2734,1631828.7109375,6370.66333726907,3.0
16487,9,3,904,,254.3094,1607518.4453125,7242.62455719079,
16488,14,1,7382,,252.7494,1634350.48046875,4925.78169303678,
16489,14,2,7355,,251.4147,1487474.9765625,12914.5646434554,
16490,14,3,904,,250.9985,1598284.8359375,5538.94249178772,
16491,14,2,7402,,246.8913,1465285.12109375,6859.54854417228,
16492,1,3,7403,,245.5161,1778223.265625,5659.58025315224,
16493,14,1,7404,,244.4051,1448319.29296875,5800.28314312534,
16494,14,2,7405,,243.3821,1441066.3515625,5627.60029698602,
16495,14,1,7406,,240.4243,1569755.33984375,6731.02505473787,
16496,14,1,7407,,212.9057,1447543.76171875,5624.11188709308,
16497,3,3,7362,,206.7873,1373950.703125,8695.60150777185,
16498,14,2,7398,,201.8938,1198317.875,5081.06871913228,
16499,14,2,7381,,194.994,1150898.859375,5487.42795123208,
16500,14,1,7408,,175.0415,1194753.31640625,4365.81164214842,
16501,14,1,7409,,156.7952,1073770.28515625,5318.690828147,
16502,14,1,7410,,150.3063,1021532.1328125,6229.60252932079,
16503,14,1,7381,,140.275,805788.12109375,4113.33280231457,
16504,1,3,7351,,136.616,995206.73828125,4159.18264141359,
16505,5,3,7365,6.0,121.9698,800731.2421875,5852.47392864672,0.0
16506,14,1,7358,,121.345,811814.4765625,7423.60340950239,
16507,14,2,7402,,118.2422,700152.86328125,6152.93979153822,
16508,2,3,7351,,113.9486,800260.1796875,3840.15397070102,
16509,9,3,904,,108.3275,629808.99609375,4452.43778793704,
16510,14,1,7355,,100.6301,673531.32421875,4644.09773415866,
16511,14,2,7374,,96.32121,570151.5,4407.10356793143,
16512,5,3,7411,6.0,95.04447,624383.37890625,4626.87700217482,0.0
16513,14,2,7412,,90.77068,536095.328125,3055.41880157193,
16514,1,3,7413,,88.63549,634659.48046875,2958.62602868231,
16515,1,3,7351,,87.67805,633358.22265625,3013.63733535664,
16516,1,3,7413,,81.6961,586247.328125,2926.9955140726,
16517,1,3,7362,,70.68686,462739.62890625,3018.9499434679,
16518,1,3,7403,,68.53065,498416.90625,2762.68923311423,
16519,2,3,7354,,68.41816,498963.1171875,3017.22989833845,
16520,1,3,7398,,64.79085,429318.44140625,2567.65804716695,
16521,14,2,7414,,62.67704,373969.296875,3404.3369582323,
16522,5,3,7409,,62.6076,445834.515625,2997.81459240008,
16523,9,3,904,,60.61004,410317.0078125,2659.75340604071,
16524,14,2,7415,,59.65198,352367.390625,3713.75774949633,
16525,2,3,7355,,56.13208,397147.10546875,2616.56831806554,
16526,1,3,7416,,53.84317,393226.6796875,2635.71697294892,
16527,1,3,904,,47.68956,296191.91796875,2172.60213947719,
16528,9,3,7417,,39.78801,290778.35546875,3188.36522215962,
16529,9,3,904,,37.91848,239774.234375,1848.09473167798,
16530,3,3,7418,,36.5579,268039.140625,2015.74545970527,
16531,1,3,7419,6.0,29.22126,193036.30078125,2156.32916009499,2.0
16532,9,3,904,,28.36986,192628.79296875,1777.47134477138,
16533,14,2,7356,,27.53646,163859.9609375,2026.71718928054,
16534,1,3,904,,24.2544,174395.12109375,2123.74254636568,
16535,1,3,7403,,22.62339,163182.76171875,1551.44221646369,
16536,1,3,904,,22.4823,161751.15234375,1690.1473626073,
16537,2,3,7420,,19.50419,142411.3125,1488.8220727055,
16538,2,3,7398,,18.98904,132126.32421875,1579.00806044781,
16539,14,2,7421,,17.06906,101590.96484375,1757.15812263991,
16540,5,4,7409,8.0,13.34716,83669.171875,1719.1453092622,1.0
16541,1,3,7351,,12.25818,87786.890625,1261.53938225388,
16542,9,3,904,,12.22225,83003.39453125,1143.9550013562,
16543,4,3,7422,,11.66754,84914.85546875,1091.08830342692,
16544,14,2,7423,,11.58624,68671.43359375,1234.95176384917,
16545,14,2,7406,,11.1683,66157.3359375,1250.96495221277,
16546,14,2,7356,,9.65959,57173.84765625,1142.77387628478,
16547,14,2,7419,,6.788603,40196.3046875,803.715401729865,
16548,14,2,7365,,6.080902,36137.1015625,801.169986462988,
16549,1,3,7424,,4.978326,36020.625,673.649440076865,
16550,2,3,7382,,3.983038,28280.4375,596.898348522284,
16551,9,3,904,,14709.95,98193883.6640625,54683.9876151207,
16552,14,2,7425,,13869.62,82260351.8125,52672.9244064396,
16553,9,1,7426,,13094.44,81934955.3710938,45926.9893734678,
16554,14,1,7427,,10590.51,70164064.25,56103.6183578272,
16555,14,1,7428,,7881.311,46169689.3164063,47181.5782638155,
